,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Award,MeanPrice,USDPrice,Country
3001,La Mère Germaine,"3 rue du Commandant- Lemaître, Châteauneuf-du-Pape, 84230, France",Châteauneuf-du-Pape,70,130,EUR,Modern,1 MICHELIN Star,100.0,111.01, France
3002,La Table de Castigno,"Carriera de la Teuliera, Assignan, 34360, France",Assignan,55,110,EUR,Modern,1 MICHELIN Star,82.5,91.58325, France
3003,La Table de la Ferme,"Vallée de l'Ortolo, domaine de Murtoli, Murtoli, 20100, France",Murtoli,305,305,EUR,Corsican,1 MICHELIN Star,305.0,338.5805, France
3004,Le Prince Noir - Vivien Durand,"1 rue du Prince-Noir, Lormont, 33310, France",Lormont,60,125,EUR,Modern,1 MICHELIN Star,92.5,102.68425, France
3005,Buerehiesel,"4 parc de l'Orangerie, Strasbourg, 67000, France",Strasbourg,46,119,EUR,Modern,1 MICHELIN Star,82.5,91.58325, France
3006,Villa de l'Étang Blanc,"2265 route de l'Étang-Blanc, Seignosse, 40510, France",Seignosse,40,85,EUR,Modern,1 MICHELIN Star,62.5,69.38125, France
3007,Le Gindreau,"146 rue du Gindreau, le Bourg, Saint-Médard, 46150, France",Saint-Médard,75,159,EUR,Creative,1 MICHELIN Star,117.0,129.8817, France
3008,Auberge au Bœuf,"1 rue de l'Église, Sessenheim, 67770, France",Sessenheim,38,102,EUR,Modern,1 MICHELIN Star,70.0,77.707, France
3009,Fleur de Pavé,"5 rue Paul-Lelong, Paris, 75002, France",Paris,45,110,EUR,Creative,1 MICHELIN Star,77.5,86.03275, France
3010,Auberge de Montfleury,"200 route des Cépages, Villeneuve-de-Berg, 07170, France",Villeneuve-de-Berg,30,98,EUR,Modern,1 MICHELIN Star,64.0,71.0464, France
3011,Pierre Reboul,"Château de la Pioline, 260 rue Guillaume-du-Vair, Aix-en-Provence, 13290, France",Aix-en-Provence,89,159,EUR,Creative,1 MICHELIN Star,124.0,137.6524, France
3012,La Bonne Étape,"Chemin du Lac, Château-Arnoux, 04160, France",Château-Arnoux,88,135,EUR,Provençal,1 MICHELIN Star,111.5,123.77615, France
3013,Le George,"Four Seasons George V, 31 avenue George-V, Paris, 75008, France",Paris,70,135,EUR,Italian,1 MICHELIN Star,102.5,113.78525, France
3014,Alliance,"5 rue de Poissy, Paris, 75005, France",Paris,59,195,EUR,Modern,1 MICHELIN Star,127.0,140.9827, France
3015,Nomicos,"16 avenue Bugeaud, Paris, 75116, France",Paris,55,162,EUR,Modern,1 MICHELIN Star,108.5,120.44585, France
3016,Roscanvec,"19 rue des Halles, Vannes, 56000, France",Vannes,38,110,EUR,Modern,1 MICHELIN Star,74.0,82.1474, France
3017,Château d'Adoménil,"7 route Mathieu-de-la-Haye - Adoménil-Rehainviller, Lunéville, 54300, France",Lunéville,75,160,EUR,Traditional,1 MICHELIN Star,117.5,130.43675, France
3018,Table - Bruno Verjus,"3 rue de Prague, Paris, 75012, France",Paris,180,400,EUR,Modern,1 MICHELIN Star,290.0,321.929, France
3019,Aspic,"24 rue de la Tour-d'Auvergne, Paris, 75009, France",Paris,95,95,EUR,Modern,1 MICHELIN Star,95.0,105.4595, France
3020,L'Aquarelle,"71 A route du Montil, Breuillet, 17920, France",Breuillet,56,130,EUR,Creative,1 MICHELIN Star,93.0,103.2393, France
3021,Les Trois Soleils de Montal,"Les Prés-de-Montal, Saint-Jean-Lespinasse, Saint-Céré, 46400, France",Saint-Céré,38,98,EUR,Modern,1 MICHELIN Star,68.0,75.4868, France
3022,Auberge Le Prieuré,"4 Grand'Rue, Moirax, 47310, France",Moirax,33,89,EUR,Creative,1 MICHELIN Star,61.0,67.7161, France
3023,La Source,"8 allée de La Charpinière, Saint-Galmier, 42330, France",Saint-Galmier,59,90,EUR,Modern,1 MICHELIN Star,74.5,82.70245, France
3024,Récif - Les Roches Rouges,"90 boulevard de la 36ème-Division-du-Texas, Saint-Raphaël, 83700, France",Saint-Raphaël,128,152,EUR,Provençal,1 MICHELIN Star,140.0,155.414, France
3025,Le Pousse-Pied,"84 boulevard des Vendéens, La Tranche-sur-Mer, 85360, France",La Tranche-sur-Mer,35,75,EUR,Seafood,1 MICHELIN Star,55.0,61.0555, France
3026,Roza,"3 place de la Monnaie, Nantes, 44000, France",Nantes,30,75,EUR,Modern,1 MICHELIN Star,52.5,58.28025, France
3027,Origines,"Rue du Clos-de-la-Chaux, Le Broc, 63500, France",Le Broc,36,130,EUR,Modern,1 MICHELIN Star,83.0,92.1383, France
3028,Les Clefs d'Argent,"333 avenue des Martyrs-de-la-Résistance, Mont-de-Marsan, 40000, France",Mont-de-Marsan,26,88,EUR,Creative,1 MICHELIN Star,57.0,63.2757, France
3029,La Promenade,"11 rue du Savoureulx, Le Petit-Pressigny, 37350, France",Le Petit-Pressigny,55,125,EUR,Modern,1 MICHELIN Star,90.0,99.909, France
3030,Le Jules Verne,"Tour Eiffel - avenue Gustave-Eiffel, Paris, 75007, France",Paris,135,245,EUR,Modern,1 MICHELIN Star,190.0,210.919, France
3031,Lamartine,"Route du Tunnel du Chat, Le Bourget-du-Lac, 73370, France",Le Bourget-du-Lac,75,120,EUR,Modern,1 MICHELIN Star,97.5,108.23475, France
3032,Auguste,"54 rue de Bourgogne, Paris, 75007, France",Paris,39,120,EUR,Modern,1 MICHELIN Star,79.5,88.25295, France
3033,Apicius,"Place du Marché-Saint-Pierre (à l'étage), Clermont-Ferrand, 63000, France",Clermont-Ferrand,79,145,EUR,Creative,1 MICHELIN Star,112.0,124.3312, France
3034,Le Lièvre Gourmand,"28 quai du Châtelet, Orléans, 45000, France",Orléans,47,88,EUR,Fusion,1 MICHELIN Star,67.5,74.93175, France
3035,Château de Massillan,"730 chemin de Massillan, Uchaux, 84100, France",Uchaux,75,115,EUR,Modern,1 MICHELIN Star,95.0,105.4595, France
3036,La Signoria,"Route de la Forêt-de-Bonifato, Calvi, 20260, France",Calvi,122,195,EUR,Modern,1 MICHELIN Star,158.5,175.95085, France
3037,L'Aparté,"21 rue de l'Europe, Montrabé, 31850, France",Montrabé,32,105,EUR,Modern,1 MICHELIN Star,68.5,76.04185, France
3038,Numéro 3,"3 rue du Général-de-Gaulle, Le Tremblay-sur-Mauldre, 78490, France",Le Tremblay-sur-Mauldre,55,70,EUR,Modern,1 MICHELIN Star,62.5,69.38125, France
3039,Frédéric Doucet,"2 avenue de la Libération, Charolles, 71120, France",Charolles,98,130,EUR,Modern,1 MICHELIN Star,114.0,126.5514, France
3040,1131 - Abbaye de la Bussière,"Route Départementale 33, La Bussière-sur-Ouche, 21360, France",La Bussière-sur-Ouche,98,135,EUR,Modern,1 MICHELIN Star,116.5,129.32665, France
